 9624   Scan angles: step 12 (+-1)
   0   0   0
  12   0   0
  24   0   0
  36   0   0
  48   0   0
  60   0   0
  72   0   0
  84   0   0
  96   0   0
 108   0   0
 120   0   0
 132   0   0
 144   0   0
 156   0   0
 168   0   0
 180   0   0
 192   0   0
 204   0   0
 216   0   0
 228   0   0
 240   0   0
 252   0   0
 264   0   0
 276   0   0
 288   0   0
 300   0   0
 312   0   0
 324   0   0
 336   0   0
 348   0   0
   5  11   0
  17  11   0
  29  11   0
  41  11   0
  53  11   0
  65  11   0
  77  11   0
  89  11   0
 101  11   0
 113  11   0
 125  11   0
 137  11   0
 149  11   0
 161  11   0
 173  11   0
 185  11   0
 197  11   0
 209  11   0
 221  11   0
 233  11   0
 245  11   0
 257  11   0
 269  11   0
 281  11   0
 293  11   0
 305  11   0
 317  11   0
 329  11   0
 341  11   0
 353  11   0
   0  22   0
  12  22   0
  24  22   0
  36  22   0
  48  22   0
  60  22   0
  72  22   0
  84  22   0
  96  22   0
 108  22   0
 120  22   0
 132  22   0
 144  22   0
 156  22   0
 168  22   0
 180  22   0
 192  22   0
 204  22   0
 216  22   0
 228  22   0
 240  22   0
 252  22   0
 264  22   0
 276  22   0
 288  22   0
 300  22   0
 312  22   0
 324  22   0
 336  22   0
 348  22   0
   5  33   0
  17  33   0
  29  33   0
  41  33   0
  53  33   0
  65  33   0
  77  33   0
  89  33   0
 101  33   0
 113  33   0
 125  33   0
 137  33   0
 149  33   0
 161  33   0
 173  33   0
 185  33   0
 197  33   0
 209  33   0
 221  33   0
 233  33   0
 245  33   0
 257  33   0
 269  33   0
 281  33   0
 293  33   0
 305  33   0
 317  33   0
 329  33   0
 341  33   0
 353  33   0
   0  44   0
  12  44   0
  24  44   0
  36  44   0
  48  44   0
  60  44   0
  72  44   0
  84  44   0
  96  44   0
 108  44   0
 120  44   0
 132  44   0
 144  44   0
 156  44   0
 168  44   0
 180  44   0
 192  44   0
 204  44   0
 216  44   0
 228  44   0
 240  44   0
 252  44   0
 264  44   0
 276  44   0
 288  44   0
 300  44   0
 312  44   0
 324  44   0
 336  44   0
 348  44   0
   5  55   0
  17  55   0
  29  55   0
  41  55   0
  53  55   0
  65  55   0
  77  55   0
  89  55   0
 101  55   0
 113  55   0
 125  55   0
 137  55   0
 149  55   0
 161  55   0
 173  55   0
 185  55   0
 197  55   0
 209  55   0
 221  55   0
 233  55   0
 245  55   0
 257  55   0
 269  55   0
 281  55   0
 293  55   0
 305  55   0
 317  55   0
 329  55   0
 341  55   0
 353  55   0
   0  66   0
  12  66   0
  24  66   0
  36  66   0
  48  66   0
  60  66   0
  72  66   0
  84  66   0
  96  66   0
 108  66   0
 120  66   0
 132  66   0
 144  66   0
 156  66   0
 168  66   0
 180  66   0
 192  66   0
 204  66   0
 216  66   0
 228  66   0
 240  66   0
 252  66   0
 264  66   0
 276  66   0
 288  66   0
 300  66   0
 312  66   0
 324  66   0
 336  66   0
 348  66   0
   5  77   0
  17  77   0
  29  77   0
  41  77   0
  53  77   0
  65  77   0
  77  77   0
  89  77   0
 101  77   0
 113  77   0
 125  77   0
 137  77   0
 149  77   0
 161  77   0
 173  77   0
 185  77   0
 197  77   0
 209  77   0
 221  77   0
 233  77   0
 245  77   0
 257  77   0
 269  77   0
 281  77   0
 293  77   0
 305  77   0
 317  77   0
 329  77   0
 341  77   0
 353  77   0
   0  88   0
  12  88   0
  24  88   0
  36  88   0
  48  88   0
  60  88   0
  72  88   0
  84  88   0
  96  88   0
 108  88   0
 120  88   0
 132  88   0
 144  88   0
 156  88   0
 168  88   0
 180  88   0
 192  88   0
 204  88   0
 216  88   0
 228  88   0
 240  88   0
 252  88   0
 264  88   0
 276  88   0
 288  88   0
 300  88   0
 312  88   0
 324  88   0
 336  88   0
 348  88   0
   5  99   0
  17  99   0
  29  99   0
  41  99   0
  53  99   0
  65  99   0
  77  99   0
  89  99   0
 101  99   0
 113  99   0
 125  99   0
 137  99   0
 149  99   0
 161  99   0
 173  99   0
 185  99   0
 197  99   0
 209  99   0
 221  99   0
 233  99   0
 245  99   0
 257  99   0
 269  99   0
 281  99   0
 293  99   0
 305  99   0
 317  99   0
 329  99   0
 341  99   0
 353  99   0
   0 110   0
  12 110   0
  24 110   0
  36 110   0
  48 110   0
  60 110   0
  72 110   0
  84 110   0
  96 110   0
 108 110   0
 120 110   0
 132 110   0
 144 110   0
 156 110   0
 168 110   0
 180 110   0
 192 110   0
 204 110   0
 216 110   0
 228 110   0
 240 110   0
 252 110   0
 264 110   0
 276 110   0
 288 110   0
 300 110   0
 312 110   0
 324 110   0
 336 110   0
 348 110   0
   5 121   0
  17 121   0
  29 121   0
  41 121   0
  53 121   0
  65 121   0
  77 121   0
  89 121   0
 101 121   0
 113 121   0
 125 121   0
 137 121   0
 149 121   0
 161 121   0
 173 121   0
 185 121   0
 197 121   0
 209 121   0
 221 121   0
 233 121   0
 245 121   0
 257 121   0
 269 121   0
 281 121   0
 293 121   0
 305 121   0
 317 121   0
 329 121   0
 341 121   0
 353 121   0
   0 132   0
  12 132   0
  24 132   0
  36 132   0
  48 132   0
  60 132   0
  72 132   0
  84 132   0
  96 132   0
 108 132   0
 120 132   0
 132 132   0
 144 132   0
 156 132   0
 168 132   0
 180 132   0
 192 132   0
 204 132   0
 216 132   0
 228 132   0
 240 132   0
 252 132   0
 264 132   0
 276 132   0
 288 132   0
 300 132   0
 312 132   0
 324 132   0
 336 132   0
 348 132   0
   5 143   0
  17 143   0
  29 143   0
  41 143   0
  53 143   0
  65 143   0
  77 143   0
  89 143   0
 101 143   0
 113 143   0
 125 143   0
 137 143   0
 149 143   0
 161 143   0
 173 143   0
 185 143   0
 197 143   0
 209 143   0
 221 143   0
 233 143   0
 245 143   0
 257 143   0
 269 143   0
 281 143   0
 293 143   0
 305 143   0
 317 143   0
 329 143   0
 341 143   0
 353 143   0
   0 154   0
  12 154   0
  24 154   0
  36 154   0
  48 154   0
  60 154   0
  72 154   0
  84 154   0
  96 154   0
 108 154   0
 120 154   0
 132 154   0
 144 154   0
 156 154   0
 168 154   0
 180 154   0
 192 154   0
 204 154   0
 216 154   0
 228 154   0
 240 154   0
 252 154   0
 264 154   0
 276 154   0
 288 154   0
 300 154   0
 312 154   0
 324 154   0
 336 154   0
 348 154   0
   5 165   0
  17 165   0
  29 165   0
  41 165   0
  53 165   0
  65 165   0
  77 165   0
  89 165   0
 101 165   0
 113 165   0
 125 165   0
 137 165   0
 149 165   0
 161 165   0
 173 165   0
 185 165   0
 197 165   0
 209 165   0
 221 165   0
 233 165   0
 245 165   0
 257 165   0
 269 165   0
 281 165   0
 293 165   0
 305 165   0
 317 165   0
 329 165   0
 341 165   0
 353 165   0
   0 176   0
  12 176   0
  24 176   0
  36 176   0
  48 176   0
  60 176   0
  72 176   0
  84 176   0
  96 176   0
 108 176   0
 120 176   0
 132 176   0
 144 176   0
 156 176   0
 168 176   0
 180 176   0
 192 176   0
 204 176   0
 216 176   0
 228 176   0
 240 176   0
 252 176   0
 264 176   0
 276 176   0
 288 176   0
 300 176   0
 312 176   0
 324 176   0
 336 176   0
 348 176   0
   6   2  10
  18   2  10
  30   2  10
  42   2  10
  54   2  10
  66   2  10
  78   2  10
  90   2  10
 102   2  10
 114   2  10
 126   2  10
 138   2  10
 150   2  10
 162   2  10
 174   2  10
 186   2  10
 198   2  10
 210   2  10
 222   2  10
 234   2  10
 246   2  10
 258   2  10
 270   2  10
 282   2  10
 294   2  10
 306   2  10
 318   2  10
 330   2  10
 342   2  10
 354   2  10
  11  14  10
  23  14  10
  35  14  10
  47  14  10
  59  14  10
  71  14  10
  83  14  10
  95  14  10
 107  14  10
 119  14  10
 131  14  10
 143  14  10
 155  14  10
 167  14  10
 179  14  10
 191  14  10
 203  14  10
 215  14  10
 227  14  10
 239  14  10
 251  14  10
 263  14  10
 275  14  10
 287  14  10
 299  14  10
 311  14  10
 323  14  10
 335  14  10
 347  14  10
 359  14  10
   6  25  10
  18  25  10
  30  25  10
  42  25  10
  54  25  10
  66  25  10
  78  25  10
  90  25  10
 102  25  10
 114  25  10
 126  25  10
 138  25  10
 150  25  10
 162  25  10
 174  25  10
 186  25  10
 198  25  10
 210  25  10
 222  25  10
 234  25  10
 246  25  10
 258  25  10
 270  25  10
 282  25  10
 294  25  10
 306  25  10
 318  25  10
 330  25  10
 342  25  10
 354  25  10
   0  37  10
  12  37  10
  24  37  10
  36  37  10
  48  37  10
  60  37  10
  72  37  10
  84  37  10
  96  37  10
 108  37  10
 120  37  10
 132  37  10
 144  37  10
 156  37  10
 168  37  10
 180  37  10
 192  37  10
 204  37  10
 216  37  10
 228  37  10
 240  37  10
 252  37  10
 264  37  10
 276  37  10
 288  37  10
 300  37  10
 312  37  10
 324  37  10
 336  37  10
 348  37  10
   7  48  10
  19  48  10
  31  48  10
  43  48  10
  55  48  10
  67  48  10
  79  48  10
  91  48  10
 103  48  10
 115  48  10
 127  48  10
 139  48  10
 151  48  10
 163  48  10
 175  48  10
 187  48  10
 199  48  10
 211  48  10
 223  48  10
 235  48  10
 247  48  10
 259  48  10
 271  48  10
 283  48  10
 295  48  10
 307  48  10
 319  48  10
 331  48  10
 343  48  10
 355  48  10
   1  60  10
  13  60  10
  25  60  10
  37  60  10
  49  60  10
  61  60  10
  73  60  10
  85  60  10
  97  60  10
 109  60  10
 121  60  10
 133  60  10
 145  60  10
 157  60  10
 169  60  10
 181  60  10
 193  60  10
 205  60  10
 217  60  10
 229  60  10
 241  60  10
 253  60  10
 265  60  10
 277  60  10
 289  60  10
 301  60  10
 313  60  10
 325  60  10
 337  60  10
 349  60  10
   8  71  10
  20  71  10
  32  71  10
  44  71  10
  56  71  10
  68  71  10
  80  71  10
  92  71  10
 104  71  10
 116  71  10
 128  71  10
 140  71  10
 152  71  10
 164  71  10
 176  71  10
 188  71  10
 200  71  10
